Gm#,Date,Tm,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,Capacity,Percent Attendance,cLI,Streak,Orig. Scheduled
8,2019-04-05,COL,LAD,L,6,10,,3-5,4,3,Maeda,Anderson,,3:52,D,48404,50144,96.52999362,1.06,-,
9,2019-04-06,COL,LAD,L,2,7,,3-6,4,4,Buehler,Gray,Jansen,3:19,N,47880,50144,95.48500319,1.01,--,
10,2019-04-07,COL,LAD,L,6,12,,3-7,4,5,Kelly,Bettis,,3:52,N,41232,50144,82.22718571,0.93,---,
11,2019-04-08,COL,ATL,L,6,8,,3-8,4,5,Teheran,Freeland,Minter,2:59,N,25199,50144,50.25327058,0.75,----,
12,2019-04-09,COL,ATL,L,1,7,,3-9,5,5,Fried,Marquez,,3:12,N,26124,50144,52.09795788,0.72,-----,
19,2019-04-18,COL,PHI,W,6,2,,7-12,5,5,Freeland,Eflin,,3:03,N,27562,50144,54.96569879,0.66,++++,
20,2019-04-19,COL,PHI,W-wo,4,3,12,8-12,4,5,Bettis,Nicasio,,4:26,N,35423,50144,70.64254946,0.75,+++++,
21,2019-04-20,COL,PHI,L,5,8,,8-13,4,5,Nola,Senzatela,Neris,3:25,N,40530,50144,80.82721761,0.76,-,
22,2019-04-21,COL,PHI,W,4,1,,9-13,4,5,Gray,Eickhoff,,2:58,D,28287,50144,56.41153478,0.76,+,
23,2019-04-22,COL,WSN,W,7,5,,10-13,4,4.5,Oh,Suero,Davis,3:00,N,20517,50144,40.91616146,0.79,++,
24,2019-04-23,COL,WSN,L,3,6,,10-14,4,4.5,Corbin,Hoffman,Doolittle,3:14,N,24456,50144,48.77153797,0.81,-,
25,2019-04-24,COL,WSN,W,9,5,,11-14,4,3.5,Marquez,Sanchez,Davis,2:48,D,33135,50144,66.07969049,0.77,+,
33,2019-05-03,COL,ARI,L,9,10,,15-18,4,5.5,Ray,Anderson,Holland,3:24,N,29574,50144,58.97814295,0.96,-,
34,2019-05-04,COL,ARI,L,2,9,,15-19,4,6.5,Weaver,Freeland,,2:51,N,37765,50144,75.31309828,0.87,--,
35,2019-05-05,COL,ARI,W,8,7,,16-19,4,5.5,Oberg,Bradley,Davis,3:09,D,40262,50144,80.29275686,0.77,+,
36,2019-05-07,COL,SFG,L,4,14,,16-20,4,7,Bumgarner,Senzatela,,3:23,N,21707,50144,43.28932674,0.77,-,
37,2019-05-09,COL,SFG,W,12,11,,17-20,4,6.5,Shaw,Beede,Davis,3:56,D,25368,50144,50.59029994,0.66,+,
38,2019-05-10,COL,SDP,W,12,2,,18-20,4,6.5,Marquez,Lauer,,3:10,N,27594,50144,55.029515,0.77,++,
39,2019-05-11,COL,SDP,L,3,4,,18-21,4,6.5,Stammen,Davis,Yates,3:05,N,37118,50144,74.02281429,0.87,-,
40,2019-05-12,COL,SDP,W,10,7,,19-21,4,6.5,Senzatela,Margevicius,,3:06,D,40234,50144,80.23691768,0.8,+,
49,2019-05-24,COL,BAL,W-wo,8,6,,23-26,4,9,Oberg,Givens,,3:17,N,32397,50144,64.60792916,0.67,+,
50,2019-05-25,COL,BAL,L,6,9,,23-27,4,10,Cashner,Freeland,Lucas,3:12,N,41239,50144,82.2411455,0.67,-,
51,2019-05-26,COL,BAL,W-wo,8,7,,24-27,4,10,Oberg,Fry,,3:28,D,46815,50144,93.36111997,0.59,+,
52,2019-05-27,COL,ARI,W-wo,4,3,11,25-27,4,10,Oh,Andriese,,4:23,D,35604,50144,71.00350989,0.72,++,
53,2019-05-28,COL,ARI,W,6,2,,26-27,4,9,Diaz,Kelly,Bettis,3:02,N,21583,50144,43.04203893,0.77,+++,
54,2019-05-29,COL,ARI,W,5,4,,27-27,3,9,Hoffman,Ray,Oberg,3:11,N,24261,50144,48.38265795,0.89,++++,
55,2019-05-30,COL,ARI,W-wo,11,10,10,28-27,3,9,Oh,Hirano,,3:51,D,30371,50144,60.56756541,0.91,+++++,
56,2019-05-31,COL,TOR,W,13,6,,29-27,3,9,Marquez,Jackson,,3:10,N,32990,50144,65.79052329,0.85,++++++,
57,2019-06-01,COL,TOR,W,4,2,,30-27,2,9,Gray,Stroman,Oberg,2:28,N,34025,50144,67.85457881,0.87,+++++++,
58,2019-06-02,COL,TOR,W,5,1,,31-27,2,9,Senzatela,Sanchez,,2:43,D,37861,50144,75.5045469,0.94,++++++++,
65,2019-06-10,COL,CHC,W,6,5,,34-31,2,10,Oberg,Cishek,Davis,2:51,N,44859,50144,89.46035418,0.9,+,
66,2019-06-11,COL,CHC,W,10,3,,35-31,2,9,Lambert,Quintana,,3:10,N,43126,50144,86.00430759,0.99,++,
67,2019-06-12,COL,CHC,L,1,10,,35-32,2,9.5,Hamels,Senzatela,,2:57,D,47412,50144,94.55169113,1.04,-,
68,2019-06-13,COL,SDP,W,9,6,,36-32,2,9.5,Gray,Strahm,,3:26,N,35504,50144,70.80408424,0.99,+,
69,2019-06-14,COL,SDP,L,12,16,12,36-33,2,10.5,Stammen,Diaz,,5:04,N,38077,50144,75.93530632,1.01,-,
70,2019-06-15,COL,SDP,W,14,8,,37-33,2,9.5,Marquez,Lauer,,3:39,N,46133,50144,92.00103701,0.95,+,
71,2019-06-16,COL,SDP,L,13,14,,37-34,2,10.5,Reyes,Davis,Yates,3:31,D,47526,50144,94.77903638,0.99,-,
81,2019-06-27,COL,LAD,L,8,12,,42-39,2,13,Baez,Davis,,3:32,N,47452,50144,94.63146139,1.09,-,
82,2019-06-28,COL,LAD,W,13,9,,43-39,2,12,Senzatela,Ryu,,3:31,N,46065,50144,91.86542757,0.96,+,
83,2019-06-29,COL,LAD,W,5,3,,44-39,2,11,Gray,Kershaw,Davis,2:43,N,48101,50144,95.92573389,1.04,++,
84,2019-06-30,COL,LAD,L,5,10,,44-40,2,12,Floro,Bettis,,4:01,D,47713,50144,95.15196235,1.11,-,
85,2019-07-02,COL,HOU,L,8,9,,44-41,2,13,Harris,McGee,Osuna,3:27,N,47864,50144,95.45309509,0.94,--,
86,2019-07-03,COL,HOU,L,2,4,,44-42,2,14,Miley,Lambert,Osuna,2:41,N,48308,50144,96.33854499,0.87,---,
90,2019-07-12,COL,CIN,W,3,2,,45-45,3,13.5,Diaz,Hernandez,Davis,2:40,N,41368,50144,82.49840459,0.67,+,
91,2019-07-13,COL,CIN,L,9,17,,45-46,3,14.5,Hughes,Bettis,,3:53,N,43650,50144,87.04929802,0.73,-,
92,2019-07-14,COL,CIN,W,10,9,,46-46,2,14.5,Senzatela,Mahle,Davis,3:05,D,40624,50144,81.01467773,0.64,+,
93,2019-07-15,COL,SFG,L,2,19,,46-47,3,16,Samardzija,Marquez,,3:15,D,26434,50144,52.71617741,0.72,-,2019-05-08 (Rain)
94,2019-07-15,COL,SFG,L,1,2,,46-48,3,16,Rodriguez,Gonzalez,Smith,2:42,N,34424,50144,68.65028717,0.65,--,
95,2019-07-16,COL,SFG,L,4,8,10,46-49,3,16,Smith,Davis,,3:33,N,47413,50144,94.55368539,0.59,---,
96,2019-07-17,COL,SFG,L,8,11,,46-50,5,17,Holland,Gray,Melancon,3:28,D,40157,50144,80.08335992,0.5,----,
107,2019-07-29,COL,LAD,W,9,1,,50-57,5,18.5,Gray,Maeda,,2:51,N,43574,50144,86.89773452,0.16,+,
108,2019-07-30,COL,LAD,L,4,9,,50-58,5,19.5,Sadler,Freeland,Gonsolin,3:12,N,45300,50144,90.33982131,0.19,-,
109,2019-07-31,COL,LAD,L,1,5,,50-59,5,20.5,Kelly,Davis,,3:05,D,42025,50144,83.80863114,0.15,--,
110,2019-08-02,COL,SFG,W,5,4,,51-59,5,20,Diaz,Moronta,Oberg,2:50,N,40672,50144,81.11040204,0.12,+,
111,2019-08-03,COL,SFG,L,5,6,,51-60,5,21,Coonrod,Estevez,Smith,3:42,N,47540,50144,94.80695597,0.16,-,
112,2019-08-04,COL,SFG,W,6,2,,52-60,4,21,Freeland,Beede,,2:52,D,40084,50144,79.9377792,0.11,+,
119,2019-08-12,COL,ARI,L,6,8,,53-66,5,25.5,Kelly,Bettis,Bradley,3:30,N,32160,50144,64.13529036,0.03,-,
120,2019-08-13,COL,ARI,L,3,9,,53-67,5,26.5,Ginkel,Hoffman,,3:32,N,31815,50144,63.44727186,0.01,--,
121,2019-08-14,COL,ARI,W-wo,7,6,,54-67,5,26.5,Oberg,Bradley,,3:25,D,32247,50144,64.30879068,0.01,+,
122,2019-08-16,COL,MIA,W,3,0,,55-67,5,26,Gray,Alcantara,Oberg,2:12,N,35018,50144,69.83487556,0.01,++,
123,2019-08-17,COL,MIA,W,11,4,,56-67,5,25,Marquez,Noesi,,3:08,N,40199,50144,80.1671187,0.01,+++,
124,2019-08-18,COL,MIA,W-wo,7,6,10,57-67,5,24,Estevez,Brigham,,3:57,D,38181,50144,76.142709,0.02,++++,
132,2019-08-26,COL,ATL,W-wo,3,1,,59-73,5,26.5,Diaz,Swarzak,,3:27,D,29803,50144,59.4348277,0,+,2019-04-10 (Inclement weather)
133,2019-08-27,COL,BOS,L,6,10,,59-74,5,27.5,Porcello,Garcia,,3:32,N,44101,50144,87.94870772,0,-,
134,2019-08-28,COL,BOS,L,4,7,,59-75,5,28.5,Rodriguez,Lambert,Workman,3:48,N,40801,50144,81.36766114,0,--,
135,2019-08-29,COL,PIT,L,8,11,,59-76,5,28.5,Williams,Gonzalez,Vazquez,3:14,N,33408,50144,66.62412253,0,---,
136,2019-08-30,COL,PIT,L,4,9,,59-77,5,28.5,Agrazal,Senzatela,,3:18,N,27789,50144,55.41839502,0,----,
137,2019-08-31,COL,PIT,L,4,11,,59-78,5,28.5,Musgrove,Melville,,3:26,N,37293,50144,74.37180919,0,-----,
138,2019-09-01,COL,PIT,L,2,6,,59-79,5,29.5,Brault,Hoffman,,3:19,D,32685,50144,65.18227505,0,------,
145,2019-09-10,COL,STL,W,2,1,,61-84,5,32.5,Gonzalez,Wacha,Diaz,2:36,N,31514,50144,62.84700064,0,+,
146,2019-09-11,COL,STL,W,2,1,,62-84,5,31.5,Senzatela,Hudson,Diaz,3:01,N,31931,50144,63.67860562,0,++,
147,2019-09-12,COL,STL,L,3,10,,62-85,5,32.5,Mikolas,Melville,,3:56,D,27618,50144,55.07737715,0,-,
148,2019-09-13,COL,SDP,W,10,8,,63-85,5,32.5,Hoffman,Lucchesi,Diaz,3:28,N,31654,50144,63.12619655,0,+,
149,2019-09-14,COL,SDP,W,11,10,,64-85,5,31.5,Lambert,Lauer,Tinoco,3:29,N,47370,50144,94.46793235,0,++,
150,2019-09-15,COL,SDP,W,10,5,,65-85,5,31.5,Howard,Quantrill,,3:44,D,30699,50144,61.22168156,0,+++,
151,2019-09-16,COL,NYM,W,9,4,,66-85,5,31,Senzatela,Matz,,3:09,N,28505,50144,56.84628271,0,++++,
152,2019-09-17,COL,NYM,L,1,6,,66-86,5,32,Stroman,Melville,,2:50,N,33118,50144,66.04578813,0,-,
153,2019-09-18,COL,NYM,L,4,7,,66-87,5,32,Lugo,Diaz,,3:43,D,30174,50144,60.17469687,0,--,
160,2019-09-27,COL,MIL,W,11,7,,69-91,5,35,Senzatela,Black,,3:33,N,44087,50144,87.92078813,0,+,
161,2019-09-28,COL,MIL,W-wo,3,2,10,70-91,4,35,Diaz,Albers,,3:00,N,47381,50144,94.48986918,0,++,
162,2019-09-29,COL,MIL,W-wo,4,3,13,71-91,4,35,Shaw,Faria,,4:02,D,36771,50144,73.33080728,0,+++,
