"surr_key";"Date";"Avg Temp (F)";"Low Temp (F)";"High Temp (F)"
1;"3/28/2019";51.08;39.02;73.94
2;"3/29/2019";38.3;37.94;62.96
3;"3/30/2019";32.0;28.04;42.98
4;"3/31/2019";34.16;28.04;39.02
5;"4/1/2019";40.82;28.94;48.92
6;"4/2/2019";42.26;30.02;57.02
7;"4/3/2019";44.42;33.98;53.06
8;"4/4/2019";49.28;35.06;62.06
9;"4/5/2019";53.6;35.96;66.92
10;"4/6/2019";53.42;42.08;71.06
11;"4/7/2019";53.42;44.06;68.0
12;"4/8/2019";57.56;42.08;71.06
13;"4/9/2019";61.16;44.06;75.02
14;"4/10/2019";38.84;41.0;78.08
15;"4/11/2019";28.58;17.06;42.08
16;"4/12/2019";29.84;17.96;41.0
17;"4/13/2019";34.52;24.98;42.98
18;"4/14/2019";46.94;28.94;46.94
19;"4/15/2019";56.66;33.98;66.02
20;"4/16/2019";52.7;39.02;73.04
21;"4/17/2019";48.92;39.02;64.04
22;"4/18/2019";47.66;39.02;62.06
23;"4/19/2019";53.6;35.96;62.96
24;"4/20/2019";60.8;37.04;71.96
25;"4/21/2019";54.5;48.92;80.96
26;"4/22/2019";44.06;41.0;69.08
27;"4/23/2019";49.28;41.0;44.96
28;"4/24/2019";56.3;42.98;66.02
29;"4/25/2019";55.04;44.06;73.04
30;"4/26/2019";60.62;42.98;64.04
31;"4/27/2019";58.46;42.98;78.98
32;"4/28/2019";61.7;42.98;69.98
33;"4/29/2019";44.78;32.0;77.0
34;"4/30/2019";43.34;30.02;42.08
35;"5/1/2019";44.78;30.92;39.02
36;"5/2/2019";46.4;35.06;44.96
37;"5/3/2019";52.52;37.04;62.06
38;"5/4/2019";56.48;35.96;68.0
39;"5/5/2019";60.44;39.02;73.04
40;"5/6/2019";56.84;46.04;73.94
41;"5/7/2019";52.7;44.96;69.98
42;"5/8/2019";44.96;44.06;55.94
43;"5/9/2019";39.38;32.0;44.06
44;"5/10/2019";44.24;32.0;41.0
45;"5/11/2019";51.26;33.08;55.94
46;"5/12/2019";57.2;37.04;64.04
47;"5/13/2019";63.5;41.0;73.04
48;"5/14/2019";66.38;44.96;78.98
49;"5/15/2019";69.08;50.0;80.06
50;"5/16/2019";70.88;50.0;84.02
51;"5/17/2019";62.6;53.06;80.06
52;"5/18/2019";52.7;39.92;71.96
53;"5/19/2019";48.56;37.94;60.98
54;"5/20/2019";44.6;35.96;57.92
55;"5/21/2019";41.54;30.92;41.0
56;"5/22/2019";46.22;30.92;41.0
57;"5/23/2019";45.86;33.08;50.0
58;"5/24/2019";52.52;37.04;46.94
59;"5/25/2019";58.64;39.02;71.96
60;"5/26/2019";61.16;42.98;75.92
61;"5/27/2019";59.18;46.94;73.94
62;"5/28/2019";50.0;42.98;71.96
63;"5/29/2019";48.38;42.08;60.08
64;"5/30/2019";55.22;42.08;59.0
65;"5/31/2019";61.7;42.08;68.0
66;"6/1/2019";62.96;48.02;77.0
67;"6/2/2019";64.76;48.02;75.02
68;"6/3/2019";66.74;48.92;82.04
69;"6/4/2019";67.64;51.08;80.06
70;"6/5/2019";66.02;50.0;78.08
71;"6/6/2019";68.54;50.0;78.08
72;"6/7/2019";71.96;53.06;82.04
73;"6/8/2019";70.16;55.04;84.92
74;"6/9/2019";57.56;44.96;80.06
75;"6/10/2019";61.16;42.98;62.96
76;"6/11/2019";65.12;46.04;80.96
77;"6/12/2019";63.5;50.0;78.98
78;"6/13/2019";68.54;51.98;73.94
79;"6/14/2019";71.6;53.06;87.08
80;"6/15/2019";66.92;53.96;84.92
81;"6/16/2019";67.1;53.06;78.98
82;"6/17/2019";64.04;53.96;82.94
83;"6/18/2019";61.7;53.96;73.04
84;"6/19/2019";66.38;51.98;71.96
85;"6/20/2019";70.52;53.96;84.92
86;"6/21/2019";63.68;53.06;86.0
87;"6/22/2019";55.04;46.04;69.98
88;"6/23/2019";55.04;44.06;64.04
89;"6/24/2019";63.68;44.96;64.04
90;"6/25/2019";69.98;48.02;82.04
91;"6/26/2019";74.48;51.98;84.02
92;"6/27/2019";78.08;53.96;91.94
93;"6/28/2019";80.42;57.92;95.0
94;"6/29/2019";79.7;59.0;98.06
95;"6/30/2019";77.54;60.98;95.0
96;"7/1/2019";73.22;59.0;93.92
97;"7/2/2019";73.94;57.02;87.08
98;"7/3/2019";76.64;57.92;86.0
99;"7/4/2019";77.18;59.0;93.92
100;"7/5/2019";74.66;59.0;87.08
101;"7/6/2019";70.7;57.92;80.06
102;"7/7/2019";71.42;57.92;84.02
103;"7/8/2019";71.96;57.92;89.06
104;"7/9/2019";74.84;55.04;84.02
105;"7/10/2019";73.94;55.94;91.04
106;"7/11/2019";79.16;59.0;89.06
107;"7/12/2019";80.78;66.02;96.08
108;"7/13/2019";80.06;62.96;93.92
109;"7/14/2019";78.8;62.96;96.98
110;"7/15/2019";79.16;62.06;91.04
111;"7/16/2019";80.42;60.08;93.02
112;"7/17/2019";83.3;60.08;96.08
113;"7/18/2019";83.84;62.06;96.98
114;"7/19/2019";85.82;62.06;98.96
115;"7/20/2019";79.7;66.02;100.04
116;"7/21/2019";74.3;59.0;87.08
117;"7/22/2019";72.14;59.0;86.0
118;"7/23/2019";74.48;60.08;87.98
119;"7/24/2019";77.18;60.08;91.04
120;"7/25/2019";76.64;64.04;98.06
121;"7/26/2019";76.82;62.06;89.96
122;"7/27/2019";76.46;62.06;93.92
123;"7/28/2019";78.08;64.04;89.06
124;"7/29/2019";77.9;60.98;91.04
125;"7/30/2019";79.34;60.98;95.0
126;"7/31/2019";79.7;62.06;98.96
127;"8/1/2019";74.48;64.04;93.02
128;"8/2/2019";75.74;62.06;86.0
129;"8/3/2019";78.08;62.06;89.06
130;"8/4/2019";77.0;64.04;96.08
131;"8/5/2019";77.18;64.94;96.08
132;"8/6/2019";78.98;62.06;91.04
133;"8/7/2019";78.62;62.06;96.98
134;"8/8/2019";73.76;64.04;89.96
135;"8/9/2019";74.84;64.94;84.02
136;"8/10/2019";75.74;66.02;95.0
137;"8/11/2019";73.76;66.02;84.02
138;"8/12/2019";75.02;57.92;86.0
139;"8/13/2019";73.4;60.08;89.96
140;"8/14/2019";73.4;59.0;89.96
141;"8/15/2019";76.64;59.0;91.94
142;"8/16/2019";75.92;59.0;96.08
143;"8/17/2019";75.92;59.0;89.06
144;"8/18/2019";76.28;55.94;91.94
145;"8/19/2019";80.96;55.94;93.92
146;"8/20/2019";80.78;60.98;98.06
147;"8/21/2019";75.02;62.96;98.06
148;"8/22/2019";73.04;57.02;82.04
149;"8/23/2019";73.22;57.92;87.98
150;"8/24/2019";72.86;57.02;89.06
151;"8/25/2019";78.98;55.94;86.0
152;"8/26/2019";73.94;59.0;96.08
153;"8/27/2019";68.72;57.92;78.98
154;"8/28/2019";73.04;55.04;77.0
155;"8/29/2019";77.36;53.96;91.94
156;"8/30/2019";73.94;60.08;91.04
157;"8/31/2019";76.28;59.0;86.0
158;"9/1/2019";79.7;60.08;91.04
159;"9/2/2019";82.76;59.0;96.98
160;"9/3/2019";77.18;60.98;98.06
161;"9/4/2019";75.38;62.06;80.96
162;"9/5/2019";78.8;60.98;89.06
163;"9/6/2019";74.12;64.94;96.08
164;"9/7/2019";74.48;60.98;84.92
165;"9/8/2019";69.08;57.02;89.06
166;"9/9/2019";70.34;53.96;77.0
167;"9/10/2019";70.7;53.96;82.04
168;"9/11/2019";68.9;55.04;89.06
169;"9/12/2019";61.88;51.08;80.06
170;"9/13/2019";64.22;50.0;75.92
171;"9/14/2019";70.34;48.92;80.06
172;"9/15/2019";72.32;51.98;87.98
173;"9/16/2019";72.5;51.98;89.96
174;"9/17/2019";71.6;60.98;87.98
175;"9/18/2019";68.0;53.06;89.06
176;"9/19/2019";69.8;50.0;84.02
177;"9/20/2019";71.06;48.92;87.08
178;"9/21/2019";62.06;55.04;87.08
179;"9/22/2019";58.64;46.04;80.06
180;"9/23/2019";62.6;44.06;75.92
181;"9/24/2019";67.1;44.96;80.96
182;"9/25/2019";65.48;46.94;86.0
183;"9/26/2019";67.46;46.04;82.04
184;"9/27/2019";65.12;44.96;87.08
185;"9/28/2019";59.54;46.94;80.96
186;"9/29/2019";66.74;48.02;78.08
